n,winsize,numerosity,protectzonetype,centralposis,extraposis,center1,extra1,n3_posis_close,center2,extra2,n3_posis_far,center3,extra3,n4_posis_close,n4_posis_far,n4_posis_both,n5_posis_close,n5_posis_far,source_file,source_pos_column,posis,derived_numerosity,type,rotated_posis_1,rotated_posis_2,rotated_posis_3,rotated_posis_4,rotated_posis_5,rotated_posis_6,rotated_posis_7,rotated_posis_8
429,1,4,radial,"[(386.5, 1.5), (231.5, -9.5)]","[(311.0433650797368, -10.656138465081902), (452.54753911059476, 4.040102147623315), (192.95640582552662, 7.593920873887882), (258.9153151920507, -16.128670115623756)]","[(386.5, 1.5)]","[(311.0433650797368, -10.656138465081902), (452.54753911059476, 4.040102147623315)]","[(386.5, 1.5), (311.0433650797368, -10.656138465081902), (452.54753911059476, 4.040102147623315)]","[(231.5, -9.5)]","[(192.95640582552662, 7.593920873887882), (258.9153151920507, -16.128670115623756)]","[(231.5, -9.5), (192.95640582552662, 7.593920873887882), (258.9153151920507, -16.128670115623756)]",,,"[(386.5, 1.5), (311.0433650797368, -10.656138465081902), (452.54753911059476, 4.040102147623315), (258.9153151920507, -16.128670115623756)]","[(231.5, -9.5), (192.95640582552662, 7.593920873887882), (258.9153151920507, -16.128670115623756), (311.0433650797368, -10.656138465081902)]","[(386.5, 1.5), (231.5, -9.5), (311.0433650797368, -10.656138465081902), (192.95640582552662, 7.593920873887882)]","[(386.5, 1.5), (311.0433650797368, -10.656138465081902), (452.54753911059476, 4.040102147623315), (231.5, -9.5), (192.95640582552662, 7.593920873887882)]","[(231.5, -9.5), (192.95640582552662, 7.593920873887882), (258.9153151920507, -16.128670115623756), (386.5, 1.5), (311.0433650797368, -10.656138465081902)]",ws1_radial_angle5_drctn0.csv,n4_posis_close,"[(386.5, 1.5), (311.0433650797368, -10.656138465081902), (452.54753911059476, 4.040102147623315), (258.9153151920507, -16.128670115623756)]",4,close,"[(386.5, 1.5), (311.0433650797368, -10.656138465081902), (452.54753911059476, 4.040102147623315), (258.9153151920507, -16.128670115623756)]","[(272.23611075682084, 274.3574311003805), (227.4759004608871, 212.40584492104267), (317.14265008911514, 322.8562173396567), (194.48546713562976, 171.676083115073)]","[(-1.4999999999999762, 386.5), (10.656138465081922, 311.0433650797368), (-4.040102147623288, 452.54753911059476), (16.12867011562377, 258.9153151920507)]","[(-274.35743110038044, 272.23611075682084), (-212.40584492104264, 227.4759004608871), (-322.85621733965667, 317.14265008911514), (-171.67608311507297, 194.48546713562976)]","[(-386.5, -1.4999999999999527), (-311.0433650797368, 10.65613846508194), (-452.54753911059476, -4.04010214762326), (-258.9153151920507, 16.128670115623787)]","[(-272.23611075682084, -274.35743110038044), (-227.47590046088715, -212.40584492104264), (-317.14265008911514, -322.85621733965667), (-194.4854671356298, -171.67608311507297)]","[(1.499999999999929, -386.5), (-10.656138465081959, -311.0433650797368), (4.040102147623232, -452.54753911059476), (-16.1286701156238, -258.9153151920507)]","[(274.3574311003804, -272.23611075682084), (212.40584492104261, -227.47590046088715), (322.8562173396566, -317.14265008911514), (171.67608311507294, -194.4854671356298)]"
829,1,4,radial,"[(437.5, -0.5), (251.5, -10.5)]","[(396.0019011678596, 34.9074504083933), (487.62317606557224, -28.97153825058865), (224.16302026530923, 3.182711103695617), (296.26326712113655, -10.131983384409267)]","[(437.5, -0.5)]","[(396.0019011678596, 34.9074504083933), (487.62317606557224, -28.97153825058865)]","[(437.5, -0.5), (396.0019011678596, 34.9074504083933), (487.62317606557224, -28.97153825058865)]","[(251.5, -10.5)]","[(224.16302026530923, 3.182711103695617), (296.26326712113655, -10.131983384409267)]","[(251.5, -10.5), (224.16302026530923, 3.182711103695617), (296.26326712113655, -10.131983384409267)]",,,"[(437.5, -0.5), (396.0019011678596, 34.9074504083933), (487.62317606557224, -28.97153825058865), (251.5, -10.5)]","[(251.5, -10.5), (224.16302026530923, 3.182711103695617), (296.26326712113655, -10.131983384409267), (396.0019011678596, 34.9074504083933)]","[(437.5, -0.5), (251.5, -10.5), (487.62317606557224, -28.97153825058865), (296.26326712113655, -10.131983384409267)]","[(437.5, -0.5), (396.0019011678596, 34.9074504083933), (487.62317606557224, -28.97153825058865), (251.5, -10.5), (296.26326712113655, -10.131983384409267)]","[(251.5, -10.5), (224.16302026530923, 3.182711103695617), (296.26326712113655, -10.131983384409267), (437.5, -0.5), (487.62317606557224, -28.97153825058865)]",ws1_radial_angle5_drctn0.csv,n4_posis_close,"[(437.5, -0.5), (396.0019011678596, 34.9074504083933), (487.62317606557224, -28.97153825058865), (251.5, -10.5)]",4,close,"[(437.5, -0.5), (396.0019011678596, 34.9074504083933), (487.62317606557224, -28.97153825058865), (251.5, -10.5)]","[(309.7127701597078, 309.00566337852126), (255.3323347808505, 304.69892457626656), (365.28762561808463, 324.31568330129124), (185.26197667087547, 170.41273426595797)]","[(0.5000000000000268, 437.5), (-34.90745040839328, 396.0019011678596), (28.97153825058868, 487.62317606557224), (10.500000000000016, 251.5)]","[(-309.00566337852126, 309.7127701597078), (-304.69892457626656, 255.33233478085052), (-324.3156833012912, 365.28762561808463), (-170.41273426595794, 185.26197667087547)]","[(-437.5, 0.5000000000000536), (-396.0019011678596, -34.90745040839325), (-487.62317606557224, 28.97153825058871), (-251.5, 10.50000000000003)]","[(-309.7127701597079, -309.00566337852126), (-255.33233478085057, -304.69892457626656), (-365.2876256180847, -324.3156833012912), (-185.2619766708755, -170.41273426595794)]","[(-0.5000000000000804, -437.5), (34.90745040839323, -396.0019011678596), (-28.97153825058874, -487.62317606557224), (-10.500000000000046, -251.5)]","[(309.0056633785212, -309.7127701597079), (304.6989245762665, -255.33233478085057), (324.31568330129113, -365.2876256180847), (170.4127342659579, -185.2619766708755)]"
944,1,4,radial,"[(210.5, -8.5), (475.5, 9.5)]","[(163.7187555987697, -8.618857735244955), (261.720974874033, -11.964854073195603), (410.95558193415764, -17.933629537442418), (522.5234852075571, -32.43412333987791)]","[(210.5, -8.5)]","[(163.7187555987697, -8.618857735244955), (261.720974874033, -11.964854073195603)]","[(210.5, -8.5), (163.7187555987697, -8.618857735244955), (261.720974874033, -11.964854073195603)]","[(475.5, 9.5)]","[(410.95558193415764, -17.933629537442418), (522.5234852075571, -32.43412333987791)]","[(475.5, 9.5), (410.95558193415764, -17.933629537442418), (522.5234852075571, -32.43412333987791)]",,,"[(210.5, -8.5), (163.7187555987697, -8.618857735244955), (261.720974874033, -11.964854073195603), (522.5234852075571, -32.43412333987791)]","[(475.5, 9.5), (410.95558193415764, -17.933629537442418), (522.5234852075571, -32.43412333987791), (163.7187555987697, -8.618857735244955)]","[(210.5, -8.5), (475.5, 9.5), (261.720974874033, -11.964854073195603), (522.5234852075571, -32.43412333987791)]","[(210.5, -8.5), (163.7187555987697, -8.618857735244955), (261.720974874033, -11.964854073195603), (475.5, 9.5), (522.5234852075571, -32.43412333987791)]","[(475.5, 9.5), (410.95558193415764, -17.933629537442418), (522.5234852075571, -32.43412333987791), (210.5, -8.5), (261.720974874033, -11.964854073195603)]",ws1_radial_angle5_drctn0.csv,n4_posis_close,"[(210.5, -8.5), (163.7187555987697, -8.618857735244955), (261.720974874033, -11.964854073195603), (522.5234852075571, -32.43412333987791)]",4,close,"[(210.5, -8.5), (163.7187555987697, -8.618857735244955), (261.720974874033, -11.964854073195603), (522.5234852075571, -32.43412333987791)]","[(154.8563850798539, 142.83556979968262), (121.86109504198694, 109.67218954063927), (193.52510556324688, 176.60424666111868), (392.4142882749609, 346.54551116402376)]","[(8.500000000000012, 210.5), (8.618857735244966, 163.7187555987697), (11.96485407319562, 261.720974874033), (32.43412333987794, 522.5234852075571)]","[(-142.8355697996826, 154.8563850798539), (-109.67218954063924, 121.86109504198694), (-176.60424666111865, 193.52510556324688), (-346.5455111640237, 392.4142882749609)]","[(-210.5, 8.500000000000027), (-163.7187555987697, 8.618857735244974), (-261.720974874033, 11.964854073195635), (-522.5234852075571, 32.43412333987797)]","[(-154.85638507985394, -142.8355697996826), (-121.86109504198696, -109.67218954063924), (-193.5251055632469, -176.60424666111865), (-392.41428827496094, -346.5455111640237)]","[(-8.500000000000039, -210.5), (-8.618857735244985, -163.7187555987697), (-11.964854073195651, -261.720974874033), (-32.434123339878006, -522.5234852075571)]","[(142.83556979968256, -154.85638507985394), (109.67218954063922, -121.86109504198696), (176.60424666111862, -193.5251055632469), (346.5455111640236, -392.41428827496094)]"
857,1,4,radial,"[(356.5, 4.5), (200.5, 4.5)]","[(302.0779486364681, -0.8806348047394863), (430.0022265687322, 17.342197568111498), (173.28448122300162, 7.287710089111581), (225.04251284133724, 10.155142297160438)]","[(356.5, 4.5)]","[(302.0779486364681, -0.8806348047394863), (430.0022265687322, 17.342197568111498)]","[(356.5, 4.5), (302.0779486364681, -0.8806348047394863), (430.0022265687322, 17.342197568111498)]","[(200.5, 4.5)]","[(173.28448122300162, 7.287710089111581), (225.04251284133724, 10.155142297160438)]","[(200.5, 4.5), (173.28448122300162, 7.287710089111581), (225.04251284133724, 10.155142297160438)]",,,"[(356.5, 4.5), (302.0779486364681, -0.8806348047394863), (430.0022265687322, 17.342197568111498), (173.28448122300162, 7.287710089111581)]","[(200.5, 4.5), (173.28448122300162, 7.287710089111581), (225.04251284133724, 10.155142297160438), (430.0022265687322, 17.342197568111498)]","[(356.5, 4.5), (200.5, 4.5), (430.0022265687322, 17.342197568111498), (225.04251284133724, 10.155142297160438)]","[(356.5, 4.5), (302.0779486364681, -0.8806348047394863), (430.0022265687322, 17.342197568111498), (200.5, 4.5), (225.04251284133724, 10.155142297160438)]","[(200.5, 4.5), (173.28448122300162, 7.287710089111581), (225.04251284133724, 10.155142297160438), (356.5, 4.5), (430.0022265687322, 17.342197568111498)]",ws1_radial_angle5_drctn0.csv,n4_posis_close,"[(356.5, 4.5), (302.0779486364681, -0.8806348047394863), (430.0022265687322, 17.342197568111498), (173.28448122300162, 7.287710089111581)]",4,close,"[(356.5, 4.5), (302.0779486364681, -0.8806348047394863), (430.0022265687322, 17.342197568111498), (173.28448122300162, 7.287710089111581)]","[(248.90158697766475, 255.26554800834367), (214.2240687699484, 212.978663085588), (291.7947048309763, 316.3202758331533), (117.377442523845, 127.68382097050984)]","[(-4.499999999999978, 356.5), (0.8806348047395048, 302.0779486364681), (-17.342197568111473, 430.0022265687322), (-7.28771008911157, 173.28448122300162)]","[(-255.26554800834364, 248.90158697766475), (-212.97866308558798, 214.2240687699484), (-316.32027583315323, 291.7947048309763), (-127.68382097050981, 117.377442523845)]","[(-356.5, -4.4999999999999565), (-302.0779486364681, 0.8806348047395233), (-430.0022265687322, -17.342197568111445), (-173.28448122300162, -7.28771008911156)]","[(-248.90158697766478, -255.26554800834364), (-214.22406876994842, -212.97866308558798), (-291.79470483097634, -316.32027583315323), (-117.37744252384502, -127.68382097050981)]","[(4.499999999999934, -356.5), (-0.8806348047395418, -302.0779486364681), (17.34219756811142, -430.0022265687322), (7.287710089111549, -173.28448122300162)]","[(255.2655480083436, -248.90158697766478), (212.97866308558793, -214.22406876994842), (316.3202758331532, -291.79470483097634), (127.6838209705098, -117.37744252384502)]"
945,1,4,radial,"[(337.5, 3.5), (201.5, 3.5)]","[(272.71207101693665, 1.2619642914849933), (406.7392744620729, 9.246805546017878), (174.60243283744302, 11.187453625455898), (225.70222268283734, 1.4754222822742875)]","[(337.5, 3.5)]","[(272.71207101693665, 1.2619642914849933), (406.7392744620729, 9.246805546017878)]","[(337.5, 3.5), (272.71207101693665, 1.2619642914849933), (406.7392744620729, 9.246805546017878)]","[(201.5, 3.5)]","[(174.60243283744302, 11.187453625455898), (225.70222268283734, 1.4754222822742875)]","[(201.5, 3.5), (174.60243283744302, 11.187453625455898), (225.70222268283734, 1.4754222822742875)]",,,"[(337.5, 3.5), (272.71207101693665, 1.2619642914849933), (406.7392744620729, 9.246805546017878), (201.5, 3.5)]","[(201.5, 3.5), (174.60243283744302, 11.187453625455898), (225.70222268283734, 1.4754222822742875), (406.7392744620729, 9.246805546017878)]","[(337.5, 3.5), (201.5, 3.5), (272.71207101693665, 1.2619642914849933), (174.60243283744302, 11.187453625455898)]","[(337.5, 3.5), (272.71207101693665, 1.2619642914849933), (406.7392744620729, 9.246805546017878), (201.5, 3.5), (225.70222268283734, 1.4754222822742875)]","[(201.5, 3.5), (174.60243283744302, 11.187453625455898), (225.70222268283734, 1.4754222822742875), (337.5, 3.5), (406.7392744620729, 9.246805546017878)]",ws1_radial_angle5_drctn0.csv,n4_posis_close,"[(337.5, 3.5), (272.71207101693665, 1.2619642914849933), (406.7392744620729, 9.246805546017878), (201.5, 3.5)]",4,close,"[(337.5, 3.5), (272.71207101693665, 1.2619642914849933), (406.7392744620729, 9.246805546017878), (201.5, 3.5)]","[(236.1736649163069, 241.12341238461272), (191.94421121937893, 193.72889823562758), (281.0696202411255, 294.1465780529307), (140.00714267493643, 144.95689014324225)]","[(-3.499999999999979, 337.5), (-1.2619642914849767, 272.71207101693665), (-9.246805546017853, 406.7392744620729), (-3.4999999999999876, 201.5)]","[(-241.12341238461266, 236.1736649163069), (-193.72889823562755, 191.94421121937893), (-294.14657805293064, 281.0696202411255), (-144.95689014324222, 140.00714267493643)]","[(-337.5, -3.4999999999999587), (-272.71207101693665, -1.26196429148496), (-406.7392744620729, -9.246805546017828), (-201.5, -3.499999999999975)]","[(-236.17366491630693, -241.12341238461266), (-191.94421121937896, -193.72889823562755), (-281.06962024112556, -294.14657805293064), (-140.00714267493646, -144.95689014324222)]","[(3.499999999999938, -337.5), (1.2619642914849432, -272.71207101693665), (9.246805546017804, -406.7392744620729), (3.499999999999963, -201.5)]","[(241.12341238461264, -236.17366491630693), (193.7288982356275, -191.94421121937896), (294.1465780529306, -281.06962024112556), (144.9568901432422, -140.00714267493646)]"
810,1,4,radial,"[(399.5, -15.5), (213.5, 5.5)]","[(325.17067413522625, -21.37400490786758), (453.1789811465741, 4.912607083999731), (177.01425399062435, 16.006274724565273), (257.2150339952962, 4.735636652725427)]","[(399.5, -15.5)]","[(325.17067413522625, -21.37400490786758), (453.1789811465741, 4.912607083999731)]","[(399.5, -15.5), (325.17067413522625, -21.37400490786758), (453.1789811465741, 4.912607083999731)]","[(213.5, 5.5)]","[(177.01425399062435, 16.006274724565273), (257.2150339952962, 4.735636652725427)]","[(213.5, 5.5), (177.01425399062435, 16.006274724565273), (257.2150339952962, 4.735636652725427)]",,,"[(399.5, -15.5), (325.17067413522625, -21.37400490786758), (453.1789811465741, 4.912607083999731), (213.5, 5.5)]","[(213.5, 5.5), (177.01425399062435, 16.006274724565273), (257.2150339952962, 4.735636652725427), (453.1789811465741, 4.912607083999731)]","[(399.5, -15.5), (213.5, 5.5), (453.1789811465741, 4.912607083999731), (177.01425399062435, 16.006274724565273)]","[(399.5, -15.5), (325.17067413522625, -21.37400490786758), (453.1789811465741, 4.912607083999731), (213.5, 5.5), (177.01425399062435, 16.006274724565273)]","[(213.5, 5.5), (177.01425399062435, 16.006274724565273), (257.2150339952962, 4.735636652725427), (399.5, -15.5), (325.17067413522625, -21.37400490786758)]",ws1_radial_angle5_drctn0.csv,n4_posis_close,"[(399.5, -15.5), (325.17067413522625, -21.37400490786758), (453.1789811465741, 4.912607083999731), (213.5, 5.5)]",4,close,"[(399.5, -15.5), (325.17067413522625, -21.37400490786758), (453.1789811465741, 4.912607083999731), (213.5, 5.5)]","[(293.4493141924172, 271.5290039756343), (245.04409253548732, 214.81668491255186), (316.9721928775519, 323.9196684423544), (147.07821048680188, 154.8563850798539)]","[(15.500000000000025, 399.5), (21.3740049078676, 325.17067413522625), (-4.912607083999704, 453.1789811465741), (-5.499999999999987, 213.5)]","[(-271.5290039756342, 293.4493141924172), (-214.81668491255186, 245.0440925354873), (-323.91966844235435, 316.9721928775519), (-154.8563850798539, 147.07821048680188)]","[(-399.5, 15.50000000000005), (-325.17067413522625, 21.37400490786762), (-453.1789811465741, -4.912607083999676), (-213.5, -5.499999999999974)]","[(-293.44931419241726, -271.52900397563417), (-245.04409253548732, -214.81668491255184), (-316.9721928775519, -323.91966844235435), (-147.0782104868019, -154.8563850798539)]","[(-15.500000000000073, -399.5), (-21.37400490786764, -325.17067413522625), (4.912607083999648, -453.1789811465741), (5.499999999999961, -213.5)]","[(271.52900397563417, -293.44931419241726), (214.81668491255178, -245.04409253548732), (323.9196684423543, -316.9721928775519), (154.85638507985388, -147.0782104868019)]"
4,1,4,radial,"[(218.5, 0.5), (497.5, -12.5)]","[(172.36671490018213, -5.02607957331271), (270.74515557571897, 0.9170742382604615), (446.6085159021338, -5.224431506569985), (584.7723752479072, 3.5110125324053385)]","[(218.5, 0.5)]","[(172.36671490018213, -5.02607957331271), (270.74515557571897, 0.9170742382604615)]","[(218.5, 0.5), (172.36671490018213, -5.02607957331271), (270.74515557571897, 0.9170742382604615)]","[(497.5, -12.5)]","[(446.6085159021338, -5.224431506569985), (584.7723752479072, 3.5110125324053385)]","[(497.5, -12.5), (446.6085159021338, -5.224431506569985), (584.7723752479072, 3.5110125324053385)]",,,"[(218.5, 0.5), (172.36671490018213, -5.02607957331271), (270.74515557571897, 0.9170742382604615), (446.6085159021338, -5.224431506569985)]","[(497.5, -12.5), (446.6085159021338, -5.224431506569985), (584.7723752479072, 3.5110125324053385), (218.5, 0.5)]","[(218.5, 0.5), (497.5, -12.5), (172.36671490018213, -5.02607957331271), (446.6085159021338, -5.224431506569985)]","[(218.5, 0.5), (172.36671490018213, -5.02607957331271), (270.74515557571897, 0.9170742382604615), (497.5, -12.5), (446.6085159021338, -5.224431506569985)]","[(497.5, -12.5), (446.6085159021338, -5.224431506569985), (584.7723752479072, 3.5110125324053385), (218.5, 0.5), (270.74515557571897, 0.9170742382604615)]",ws1_radial_angle5_drctn0.csv,n4_posis_close,"[(218.5, 0.5), (172.36671490018213, -5.02607957331271), (270.74515557571897, 0.9170742382604615), (446.6085159021338, -5.224431506569985)]",4,close,"[(218.5, 0.5), (172.36671490018213, -5.02607957331271), (270.74515557571897, 0.9170742382604615), (446.6085159021338, -5.224431506569985)]","[(154.14927829866735, 154.8563850798539), (125.43564790583973, 118.32769800769451), (190.79726606827222, 192.09420489372314), (319.4941410761991, 312.10567918391854)]","[(-0.4999999999999866, 218.5), (5.026079573312721, 172.36671490018213), (-0.917074238260445, 270.74515557571897), (5.224431506570013, 446.6085159021338)]","[(-154.8563850798539, 154.14927829866735), (-118.32769800769448, 125.43564790583973), (-192.09420489372312, 190.79726606827222), (-312.10567918391854, 319.4941410761991)]","[(-218.5, -0.49999999999997324), (-172.36671490018213, 5.026079573312732), (-270.74515557571897, -0.9170742382604283), (-446.6085159021338, 5.22443150657004)]","[(-154.14927829866738, -154.8563850798539), (-125.43564790583974, -118.32769800769448), (-190.79726606827225, -192.09420489372312), (-319.4941410761992, -312.10567918391854)]","[(0.49999999999995987, -218.5), (-5.026079573312742, -172.36671490018213), (0.9170742382604118, -270.74515557571897), (-5.224431506570067, -446.6085159021338)]","[(154.85638507985388, -154.14927829866738), (118.32769800769447, -125.43564790583974), (192.0942048937231, -190.79726606827225), (312.1056791839185, -319.4941410761992)]"
470,1,4,radial,"[(214.5, 0.5), (495.5, 1.5)]","[(169.0370876765291, 3.744398954612066), (260.31759516817016, 1.5517256502795753), (434.6643863276566, 8.916296730420491), (569.7091068089887, -8.17090049780559)]","[(214.5, 0.5)]","[(169.0370876765291, 3.744398954612066), (260.31759516817016, 1.5517256502795753)]","[(214.5, 0.5), (169.0370876765291, 3.744398954612066), (260.31759516817016, 1.5517256502795753)]","[(495.5, 1.5)]","[(434.6643863276566, 8.916296730420491), (569.7091068089887, -8.17090049780559)]","[(495.5, 1.5), (434.6643863276566, 8.916296730420491), (569.7091068089887, -8.17090049780559)]",,,"[(214.5, 0.5), (169.0370876765291, 3.744398954612066), (260.31759516817016, 1.5517256502795753), (434.6643863276566, 8.916296730420491)]","[(495.5, 1.5), (434.6643863276566, 8.916296730420491), (569.7091068089887, -8.17090049780559), (214.5, 0.5)]","[(214.5, 0.5), (495.5, 1.5), (169.0370876765291, 3.744398954612066), (434.6643863276566, 8.916296730420491)]","[(214.5, 0.5), (169.0370876765291, 3.744398954612066), (260.31759516817016, 1.5517256502795753), (495.5, 1.5), (434.6643863276566, 8.916296730420491)]","[(495.5, 1.5), (434.6643863276566, 8.916296730420491), (569.7091068089887, -8.17090049780559), (214.5, 0.5), (169.0370876765291, 3.744398954612066)]",ws1_radial_angle5_drctn0.csv,n4_posis_close,"[(214.5, 0.5), (169.0370876765291, 3.744398954612066), (260.31759516817016, 1.5517256502795753), (434.6643863276566, 8.916296730420491)]",4,close,"[(214.5, 0.5), (169.0370876765291, 3.744398954612066), (260.31759516817016, 1.5517256502795753), (434.6643863276566, 8.916296730420491)]","[(151.32085117392117, 152.02795795510772), (116.8795810758247, 122.17496086037274), (182.9751010757338, 185.16957253544138), (301.04936123142346, 313.65890899372704)]","[(-0.49999999999998684, 214.5), (-3.744398954612056, 169.0370876765291), (-1.5517256502795593, 260.31759516817016), (-8.916296730420465, 434.6643863276566)]","[(-152.0279579551077, 151.32085117392117), (-122.17496086037272, 116.8795810758247), (-185.16957253544135, 182.9751010757338), (-313.658908993727, 301.04936123142346)]","[(-214.5, -0.49999999999997374), (-169.0370876765291, -3.7443989546120453), (-260.31759516817016, -1.5517256502795433), (-434.6643863276566, -8.916296730420438)]","[(-151.3208511739212, -152.0279579551077), (-116.87958107582472, -122.17496086037272), (-182.97510107573382, -185.16957253544135), (-301.0493612314235, -313.658908993727)]","[(0.4999999999999606, -214.5), (3.744398954612035, -169.0370876765291), (1.5517256502795276, -260.31759516817016), (8.916296730420411, -434.6643863276566)]","[(152.0279579551077, -151.3208511739212), (122.17496086037269, -116.87958107582472), (185.16957253544132, -182.97510107573382), (313.6589089937269, -301.0493612314235)]"
659,1,4,radial,"[(453.5, 4.5), (217.5, 1.5)]","[(395.234969337862, 11.483672655560511), (518.2451425822637, 22.563644157608547), (180.41286760581968, -5.76208209266747), (243.92401843326022, -8.41871240694605)]","[(453.5, 4.5)]","[(395.234969337862, 11.483672655560511), (518.2451425822637, 22.563644157608547)]","[(453.5, 4.5), (395.234969337862, 11.483672655560511), (518.2451425822637, 22.563644157608547)]","[(217.5, 1.5)]","[(180.41286760581968, -5.76208209266747), (243.92401843326022, -8.41871240694605)]","[(217.5, 1.5), (180.41286760581968, -5.76208209266747), (243.92401843326022, -8.41871240694605)]",,,"[(453.5, 4.5), (395.234969337862, 11.483672655560511), (518.2451425822637, 22.563644157608547), (217.5, 1.5)]","[(217.5, 1.5), (180.41286760581968, -5.76208209266747), (243.92401843326022, -8.41871240694605), (395.234969337862, 11.483672655560511)]","[(453.5, 4.5), (217.5, 1.5), (395.234969337862, 11.483672655560511), (180.41286760581968, -5.76208209266747)]","[(453.5, 4.5), (395.234969337862, 11.483672655560511), (518.2451425822637, 22.563644157608547), (217.5, 1.5), (243.92401843326022, -8.41871240694605)]","[(217.5, 1.5), (180.41286760581968, -5.76208209266747), (243.92401843326022, -8.41871240694605), (453.5, 4.5), (518.2451425822637, 22.563644157608547)]",ws1_radial_angle5_drctn0.csv,n4_posis_close,"[(453.5, 4.5), (395.234969337862, 11.483672655560511), (518.2451425822637, 22.563644157608547), (217.5, 1.5)]",4,close,"[(453.5, 4.5), (395.234969337862, 11.483672655560511), (518.2451425822637, 22.563644157608547), (217.5, 1.5)]","[(317.49094475275984, 323.8549057834388), (271.3531441731861, 287.5935097885328), (350.4997488447827, 382.4095604290331), (152.73506473629428, 154.85638507985394)]","[(-4.4999999999999725, 453.5), (-11.483672655560486, 395.234969337862), (-22.563644157608515, 518.2451425822637), (-1.4999999999999867, 217.5)]","[(-323.85490578343877, 317.49094475275984), (-287.59350978853274, 271.3531441731861), (-382.40956042903304, 350.4997488447827), (-154.8563850798539, 152.73506473629428)]","[(-453.5, -4.499999999999944), (-395.234969337862, -11.483672655560463), (-518.2451425822637, -22.563644157608483), (-217.5, -1.4999999999999734)]","[(-317.4909447527599, -323.85490578343877), (-271.35314417318614, -287.59350978853274), (-350.49974884478274, -382.40956042903304), (-152.7350647362943, -154.8563850798539)]","[(4.4999999999999165, -453.5), (11.483672655560438, -395.234969337862), (22.56364415760845, -518.2451425822637), (1.49999999999996, -217.5)]","[(323.8549057834387, -317.4909447527599), (287.59350978853274, -271.35314417318614), (382.40956042903304, -350.49974884478274), (154.85638507985388, -152.7350647362943)]"
315,1,4,radial,"[(451.5, -14.5), (200.5, 0.5)]","[(355.8933378432075, 2.861830623324984), (511.18694030968896, -26.825026161880565), (175.08100658752417, -16.57959949317196), (224.50517090459928, 4.861597453817513)]","[(451.5, -14.5)]","[(355.8933378432075, 2.861830623324984), (511.18694030968896, -26.825026161880565)]","[(451.5, -14.5), (355.8933378432075, 2.861830623324984), (511.18694030968896, -26.825026161880565)]","[(200.5, 0.5)]","[(175.08100658752417, -16.57959949317196), (224.50517090459928, 4.861597453817513)]","[(200.5, 0.5), (175.08100658752417, -16.57959949317196), (224.50517090459928, 4.861597453817513)]",,,"[(451.5, -14.5), (355.8933378432075, 2.861830623324984), (511.18694030968896, -26.825026161880565), (224.50517090459928, 4.861597453817513)]","[(200.5, 0.5), (175.08100658752417, -16.57959949317196), (224.50517090459928, 4.861597453817513), (355.8933378432075, 2.861830623324984)]","[(451.5, -14.5), (200.5, 0.5), (511.18694030968896, -26.825026161880565), (224.50517090459928, 4.861597453817513)]","[(451.5, -14.5), (355.8933378432075, 2.861830623324984), (511.18694030968896, -26.825026161880565), (200.5, 0.5), (175.08100658752417, -16.57959949317196)]","[(200.5, 0.5), (175.08100658752417, -16.57959949317196), (224.50517090459928, 4.861597453817513), (451.5, -14.5), (511.18694030968896, -26.825026161880565)]",ws1_radial_angle5_drctn0.csv,n4_posis_far,"[(200.5, 0.5), (175.08100658752417, -16.57959949317196), (224.50517090459928, 4.861597453817513), (355.8933378432075, 2.861830623324984)]",4,far,"[(200.5, 0.5), (175.08100658752417, -16.57959949317196), (224.50517090459928, 4.861597453817513), (355.8933378432075, 2.861830623324984)]","[(141.4213562373095, 142.12846301849606), (135.52451424598388, 112.077419784026), (155.31146023109335, 162.18679728508056), (249.63097272768655, 253.6782124084074)]","[(-0.49999999999998773, 200.5), (16.57959949317197, 175.08100658752417), (-4.8615974538175, 224.50517090459928), (-2.861830623324962, 355.8933378432075)]","[(-142.12846301849603, 141.4213562373095), (-112.07741978402599, 135.52451424598388), (-162.18679728508053, 155.31146023109335), (-253.67821240840738, 249.63097272768655)]","[(-200.5, -0.49999999999997546), (-175.08100658752417, 16.57959949317198), (-224.50517090459928, -4.8615974538174855), (-355.8933378432075, -2.8618306233249404)]","[(-141.42135623730954, -142.12846301849603), (-135.5245142459839, -112.07741978402599), (-155.31146023109338, -162.18679728508053), (-249.6309727276866, -253.67821240840738)]","[(0.4999999999999632, -200.5), (-16.57959949317199, -175.08100658752417), (4.861597453817472, -224.50517090459928), (2.8618306233249187, -355.8933378432075)]","[(142.128463018496, -141.42135623730954), (112.07741978402598, -135.5245142459839), (162.1867972850805, -155.31146023109338), (253.67821240840735, -249.6309727276866)]"
